,Name,District,Price,latitude,longitude
99,Grand Del Sol 2 RoomsFlat C Higher Floor Block 01,Yuen Long,6880000,22.43944019559052,114.03331643670822
100,Laguna Verde Villa Verde 2 Rooms 1 Living RoomFlat G Lower Floor Tower 06,Hung Hom,10500000,22.308855253856677,114.19161645119857
101,Metro Harbour View Phase 1Flat C Higher Floor Block 06,Tai Kok Tsui,10000000,22.324549227911177,114.16070348181631
102,Kwong Fung Terrace 2 RoomsFlat B Higher Floor Block 2,Hong Kong West,10800000,22.28612918523737,114.13865443765837
103,The Reach 3 Rooms 1 Living RoomFlat G Lower Floor Tower 08,Yuen Long,8000000,22.43687479926416,114.0327946738114
105,Rockwin Court 1 Room 2 Living RoomsFlat G,Happy Valley / Mid-Levels East,8480000,22.276830000000075,114.17612000000008
106,The Palazzo 3 Rooms 2 Living RoomsFlat B Lower Floor Tower 6,Kau To Shan / Fotan,17000000,22.39526619199853,114.19916846265346
107,Dragons Range Court A 2 RoomsFlat H Middle Floor Tower 1,Kau To Shan / Fotan,9400000,22.41976239831176,114.2097321125724
108,South Horizons Phase 4 (The Oasis) 3 Rooms 2 Living RoomsFlat G Higher Floor Block 28,Ap Lei Chau,14300000,22.24403126419287,114.14503248084532
109,Greenery Plaza 3 RoomsFlat 6 Lower Floor Block C,Tai Po,7000000,22.274624675836076,114.1281632200967
110,Bayshore Towers 2 RoomsFlat F Lower Floor Block 1,Ma On Shan,7300000,22.4255211939888,114.23133946360929
111,Festival City Phase 1 3 Rooms 2 Living RoomsFlat NA Higher Floor Block 3,Shatin,11000000,22.370138254647372,114.17605942564194
112,One Homantin 2 Rooms 2 Living RoomsFlat E Lower Floor Tower 3,Ho Man Tin,10800000,22.276830000000075,114.17612000000008
113,The Papillons 3 Rooms 2 Living RoomsFlat D Middle Floor Tower 6,Po Lam / Tseung Kwan O Station,15000000,22.276830000000075,114.17612000000008
115,The Pavilia BayFlat E Higher Floor Tower 2B,Tsuen Wan,7100000,22.276830000000075,114.17612000000008
116,Villa Oceania 2 Rooms 2 Living RoomsFlat E Middle Floor Block 5,Ma On Shan,8980000,22.426947233173053,114.23275040473868
117,University Heights 3 Rooms 2 Living RoomsFlat E Lower Floor Block 1,Hong Kong West,18000000,22.28177718741597,114.1410514413725
118,22-24 Fa Po Street 3 Rooms 2 Living RoomsFlat C1 Higher Floor,Yau Yat Chuen / Shek Kip Mei,23000000,22.33130624626358,114.17614725147195
120,Hong Shing Building 2 RoomsFlat 7 Higher Floor,Yuen Long,3750000,22.289795373701395,114.20778927123536
121,Yoho Town Phase 1Flat E Middle Floor Block 9,Yuen Long,7800000,22.441881240464795,114.03707245036298
122,Chelsea Heights Phase 1 2 Rooms 2 Living RoomsFlat B Lower Floor Block 3,Tuen Mun,6800000,22.401892181086907,113.97454142903518
123,Lee Bo Building 1 Room 1 Living RoomFlat E Higher Floor,Tuen Mun,3980000,22.27561318700708,114.1286434282639
124,Healey BuildingFlat F Lower Floor,Yuen Long,3000000,22.44480640000006,114.02540940000006
125,The Met. BlossomFlat A1 Lower Floor Tower 1,Ma On Shan,4200000,22.424874081636233,114.23434298452844
126,Mantin HeightsFlat F Middle Floor Block 2,Ho Man Tin,12000000,22.26753433806242,114.18645766292997
