,Unnamed: 0,Name,District,Price,address,loc,lat,long
5535,5535,"Siu Hin Court 2 Rooms 1 Living Room
Flat 1 Middle Floor Block A",Tuen Mun,"$4.7
M",Siu Hin Hong Kong,"兆軒苑 Siu Hin Court, 屯門北 Tuen Mun North, 屯門 Tuen Mun, 屯門區 Tuen Mun District, 新界 New Territories, 香港 Hong Kong, 中国",22.407412649999998,113.9703313388566
5536,5536,"The Sherwood
Flat C Middle Floor Block 7",Tuen Mun,"$4.2
M",The Sherwood Hong Kong,"豫豐花園 The Sherwood, 屯門新村 Tuen Mun San Tsuen, 泥圍村 Nai Wai Village, 屯門區 Tuen Mun District, 新界 New Territories, 香港 Hong Kong, 中国",22.41949925,113.9856205448463
5537,5537,"Taikoo Shing Kao Shan Terrace 3 Rooms 2 Living Rooms
Flat G Lower Floor Kam Shan Mansion",Taikoo / Sai Wan Ho,"$12.88
M",Taikoo Shing Kao Shan Terrace Kam Shan Mansion Hong Kong,,0.0,0.0
5538,5538,"Tak Nga Court
Flat 24 Higher Floor",Tai Po,"$6
M",Tak Nga Hong Kong,"德雅中學 Tak Nga Secondary School, 花圃街 Fa Po Street, 花圃別墅 Fa Po Villa, 石硤尾 Shek Kip Mei, 深水埗區 Sham Shui Po District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.3301259,114.17527466285395
5539,5539,"Taikoo Shing Kao Shan Terrace 3 Rooms 2 Living Rooms
Flat C Lower Floor Tung Shan Mansion",Taikoo / Sai Wan Ho,"$15
M",Taikoo Shing Kao Shan Terrace Tung Shan Mansion Hong Kong,,0.0,0.0
5540,5540,"Tuen Mun Town Plaza Phase 2 2 Rooms
Flat D Middle Floor Block 2",Tuen Mun,"$4.4
M",Tuen Mun Town Plaza Hong Kong,"屯門市廣場 Tuen Mun Town Plaza, 屯門中 Tuen Mun Central, 屯門 Tuen Mun, 屯門區 Tuen Mun District, 新界 New Territories, 香港 Hong Kong, 中国",22.3940313,113.9762853
5541,5541,"The Hampton
Flat B Middle Floor",Happy Valley / Mid-Levels East,"$110
M",The Hampton Hong Kong,"The Hampton, 45, 藍塘道 Blue Pool Road, 跑馬地 Happy Valley, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2676154,114.18829766945814
5542,5542,"Siu Hong Court 2 Rooms
Flat 7 Middle Floor Siu Hang House",Tuen Mun,"$4.2
M",Siu Hong Siu Hang House Hong Kong,"兆康 Siu Hong, 屯門公路 Tuen Mun Road, 虎地 Fu Tei, 屯門北 Tuen Mun North, 麒麟圍 Kei Lun Wai, 屯門區 Tuen Mun District, 新界 New Territories, 香港 Hong Kong, 中国",22.4118023,113.9780883
5543,5543,"Mont Vert Phase 1 3 Rooms 2 Living Rooms
Flat F Lower Floor Block 8",Tai Po,"$8.3
M",Mont Vert Hong Kong,"嵐山 Mont Vert, 鳳園 Fung Yuen, 大埔區 Tai Po District, 新界 New Territories, 香港 Hong Kong, 中国",22.464902199999997,114.17958586044142
5544,5544,"The Vantage
Flat D5 Lower Floor",Hung Hom,"$4.68
M",The Vantage Hong Kong,"啟岸 The Vantage, 土瓜灣 To Kwa Wan, 九龍城區 Kowloon City District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.3120917,114.18806964205606
5545,5545,"Nan Fung Sun Chuen
Flat E Higher Floor Block 05",Quarry Bay,"$8.2
M",Fung Sun Chuen Hong Kong,"南豐新邨 Nan Fung Sun Chuen, 鰂魚涌 Quarry Bay, 東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.282064599999998,114.21409593620291
5546,5546,"Nan Fung Sun Chuen 3 Rooms 2 Living Rooms
Flat E Lower Floor Block 07",Quarry Bay,"$8.2
M",Fung Sun Chuen Hong Kong,"南豐新邨 Nan Fung Sun Chuen, 鰂魚涌 Quarry Bay, 東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.282064599999998,114.21409593620291
5547,5547,"The Arch 2 Rooms 2 Living Rooms
Flat G Middle Floor Tower 2 (Star Tower)",Kowloon Station,"$17
M",The Arch Tower (Star Tower) Hong Kong,,0.0,0.0
5548,5548,"Tuen Mun Town Plaza Phase 2
Flat F Lower Floor Block 1",Tuen Mun,"$4.7
M",Tuen Mun Town Plaza Hong Kong,"屯門市廣場 Tuen Mun Town Plaza, 屯門中 Tuen Mun Central, 屯門 Tuen Mun, 屯門區 Tuen Mun District, 新界 New Territories, 香港 Hong Kong, 中国",22.3940313,113.9762853
5549,5549,"Tai Hing Gardens Phase 2 2 Rooms
Flat F Higher Floor Block 01",Tuen Mun,"$4.7
M",Tai Hing Gardens Hong Kong,,0.0,0.0
5550,5550,"Ruby Court 3 Rooms 2 Living Rooms
Flat A Higher Floor Block 2",Repulse Bay / Shouson Hill,"$50
M",Ruby Hong Kong,"Ruby, 33, 砵典乍街 Pottinger Street, SoHo, 中環 Central, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2823,114.15478
5551,5551,"Classical Gardens Phase 4 (Grand Dynasty)
Flat D Lower Floor Block 29",Tai Po,"$12
M",Classical Gardens (Grand Hong Kong,"御峰豪園 Grand Dynasty View, 馬窩 Ma Wo, 大埔 Tai Po, 大埔區 Tai Po District, 新界 New Territories, 香港 Hong Kong, 中国",22.441057100000002,114.1611912121086
5552,5552,"Park Haven 2 Rooms 2 Living Rooms
Flat B Lower Floor",Wan Chai / Causeway Bay,"$16.8
M",Park Haven Hong Kong,"曦巒 Park Haven, 38, 希雲街 Haven Street, 加路連山 Caroline Hill, 銅鑼灣 Causeway Bay, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2777189,114.18719141601959
5553,5553,"The Regent
Flat F Higher Floor Tower 9",Tai Po,"$6.5
M",The Regent Tower Hong Kong,,0.0,0.0
5554,5554,"Kornhill 2 Rooms 1 Living Room
Flat 7 Higher Floor Block E",Quarry Bay,"$9.5
M",Kornhill Hong Kong,"Bible Baptist Church - Sai Wan Ho, Hong Kong, 46-56, 西灣河街 Sai Wan Ho Street, 愛秩序灣 Aldrich Bay, 西灣河 Sai Wan Ho, 東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.280348,114.2234722
5555,5555,"Park Island Phase 5 2 Rooms 2 Living Rooms
Flat D Middle Floor Block 28",Ma Wan,"$7.99
M",Park Island Hong Kong,"珀麗灣 Park Island, 馬灣 Ma Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 中国",22.352302700000003,114.06116519894678
5556,5556,"Laguna Verde Laguna Grande 2 Rooms
Flat H Higher Floor Tower 21",Hung Hom,"$12
M",Verde Grande Tower Hong Kong,,0.0,0.0
5557,5557,"The Parcville 2 Rooms 2 Living Rooms
Flat A Lower Floor Block 15",Yuen Long,"$6.8
M",The Parcville Hong Kong,"采葉庭 The Parcville, 山貝洪田村 Shan Pui Hung Tin Tsuen, 山貝村 Shan Pui Village, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, 中国",22.45056915,114.03279379626935
5558,5558,"Garden Rivera 1 Room
Flat 5 Middle Floor Block E",Shatin,"$4.86
M",Garden Rivera Hong Kong,"河畔花園 Garden Rivera, 沙田圍 Sha Tin Wai, 沙田 Sha Tin, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国",22.3813236,114.19542858587903
5559,5559,"Bohemian House 2 Rooms 1 Living Room
Flat G Lower Floor",Hong Kong West,"$13.9
M",Bohemian House Hong Kong,"瑧璈 Bohemian House, 西營盤 Sai Ying Pun, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2876695,114.1390876
5560,5560,"Kingswood Villas Lynwood Court
Flat F Higher Floor Block 06",Tin Shui Wai,"$5.6
M",Kingswood Villas Lynwood Hong Kong,"嘉湖山莊麗湖居 Lynwood Court, Kingswood Villas, 天水圍南 Tin Shui Wai South, 天水圍 Tin Shui Wai, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, 中国",22.4601946,114.00414140045686
5561,5561,"Taikoo Shing Kao Shan Terrace 3 Rooms 2 Living Rooms
Flat E Lower Floor Nan Shan Mansion",Taikoo / Sai Wan Ho,"$11.8
M",Taikoo Shing Kao Shan Terrace Shan Mansion Hong Kong,,0.0,0.0
5562,5562,"Mei Foo Sun Chuen Phase II
Flat D Higher Floor Glee Path 07",Mei Foo,"$10
M",Mei Foo Sun Chuen II Glee Path Hong Kong,,0.0,0.0
5563,5563,"Aegean Coast 3 Rooms 2 Living Rooms
Flat F Lower Floor Tower 8",Tuen Mun,"$8
M",Aegean Coast Tower Hong Kong,,0.0,0.0
5564,5564,"The Regent
Flat G Middle Floor Tower 16",Tai Po,"$8
M",The Regent Tower Hong Kong,,0.0,0.0
5565,5565,"Oceanaire
Flat B Block 1B",Ma On Shan,"$14
M", Hong Kong,"香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2793278,114.1628131
5566,5566,"Park Island Phase 3 2 Rooms 1 Living Room
Flat F Higher Floor Block 20",Ma Wan,"$6.55
M",Park Island Hong Kong,"珀麗灣 Park Island, 馬灣 Ma Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 中国",22.352302700000003,114.06116519894678
5567,5567,"Solaria 3 Rooms
Flat B Middle Floor Tower 1",Tai Po,"$13.8
M",Solaria Tower Hong Kong,,0.0,0.0
5568,5568,"Park Royale 3 Rooms
Flat B Middle Floor Block 02",Yuen Long,"$8.38
M",Park Royale Hong Kong,"御豪山莊 Park Royale, 元朗城市農莊 Yuen Long CityFarm, 元朗 Yuen Long, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, 中国",22.442071849999998,114.01724170574634
5569,5569,"Smithfield Terrace 2 Rooms 2 Living Rooms
Flat D4 Lower Floor Block D",Hong Kong West,"$9.35
M",Smithfield Terrace Hong Kong,"嘉輝花園 Smithfield Terrace, 堅尼地城 Kennedy Town, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2803085,114.1290184740088
